id,domain,concept,definition_query,application_query,expected_answer
1532,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1533,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1534,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1535,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1536,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
1537,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1538,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1539,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
1540,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1541,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
1542,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1543,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1544,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1545,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1546,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1547,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1548,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1549,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1550,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1551,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
1552,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1553,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1554,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1555,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1556,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1557,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1558,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1559,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1560,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1561,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1562,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1563,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1564,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1565,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1566,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1567,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1568,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1569,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1570,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1571,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1572,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1573,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1574,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1575,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1576,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1577,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1578,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1579,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1580,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1581,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1582,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
1583,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
1584,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1585,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1586,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
1587,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1588,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
1589,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1590,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1591,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1592,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1593,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1594,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1595,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1596,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1597,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1598,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
1599,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1600,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1601,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1602,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1603,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1604,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1605,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1606,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1607,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1608,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1609,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1610,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1611,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1612,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1613,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1614,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
1615,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1616,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1617,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1618,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1619,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1620,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
1621,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1622,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1623,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1624,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1625,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1626,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1627,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1628,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1629,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1630,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1631,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1632,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1633,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1634,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1635,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1636,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
1637,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1638,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1639,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1640,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1641,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1642,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1643,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1644,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1645,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1646,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1647,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1648,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1649,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1650,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1651,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1652,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1653,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1654,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1655,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1656,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1657,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1658,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1659,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1660,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1661,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1662,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1663,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1664,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1665,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1666,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1667,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1668,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1669,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1670,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
1671,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
1672,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1673,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1674,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1675,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1676,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1677,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1678,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1679,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1680,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1681,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1682,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1683,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
1684,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1685,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1686,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1687,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
1688,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1689,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1690,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1691,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1692,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1693,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1694,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1695,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1696,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1697,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1698,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1699,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1700,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1701,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1702,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1703,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1704,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1705,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1706,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1707,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1708,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1709,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1710,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1711,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1712,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1713,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
1714,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1715,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1716,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1717,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1718,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1719,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1720,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1721,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1722,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1723,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1724,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1725,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1726,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1727,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1728,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1729,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1730,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1731,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1732,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1733,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1734,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1735,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1736,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1737,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1738,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1739,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1740,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1741,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1742,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1743,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1744,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1745,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1746,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1747,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
1748,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
1749,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1750,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
1751,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1752,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1753,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1754,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1755,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1756,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1757,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1758,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1759,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1760,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1761,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
1762,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
1763,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1764,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1765,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
1766,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1767,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1768,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1769,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1770,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1771,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1772,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1773,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1774,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1775,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1776,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
1777,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1778,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1779,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1780,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1781,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1782,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1783,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1784,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1785,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1786,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1787,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1788,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1789,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
1790,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1791,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1792,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1793,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1794,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1795,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1796,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
1797,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1798,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1799,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1800,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1801,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1802,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1803,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1804,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1805,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1806,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1807,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1808,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1809,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1810,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
1811,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1812,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1813,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1814,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1815,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1816,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1817,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1818,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
1819,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
1820,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
1821,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1822,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1823,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1824,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1825,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1826,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1827,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
1828,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1829,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1830,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1831,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
1832,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1833,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1834,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1835,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1836,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1837,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1838,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
1839,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
1840,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1841,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1842,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1843,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1844,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1845,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1846,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1847,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1848,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1849,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
1850,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1851,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1852,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1853,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1854,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1855,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1856,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1857,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1858,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1859,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1860,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
1861,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1862,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1863,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1864,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1865,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1866,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1867,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
1868,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1869,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1870,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
1871,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1872,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1873,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1874,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
1875,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1876,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
1877,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1878,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1879,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
