id,domain,concept,definition_query,application_query,expected_answer
4867,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
4868,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
4869,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
4870,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
4871,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
4872,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
4873,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
4874,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
4875,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
4876,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
4877,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
4878,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4879,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
4880,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
4881,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
4882,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
4883,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
4884,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
4885,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4886,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
4887,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
4888,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
4889,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
4890,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
4891,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
4892,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4893,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
4894,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
4895,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
4896,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
4897,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
4898,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
4899,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
4900,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
4901,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
4902,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
4903,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
4904,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4905,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
4906,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
4907,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
4908,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4909,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4910,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
4911,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
4912,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
4913,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
4914,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
4915,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
4916,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
4917,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
4918,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4919,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
4920,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
4921,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
4922,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
4923,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
4924,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4925,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
4926,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
4927,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
4928,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
4929,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
4930,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4931,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
4932,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
4933,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4934,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
4935,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4936,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
4937,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
4938,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
4939,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
4940,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
4941,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4942,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
4943,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
4944,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
4945,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
4946,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
4947,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
4948,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4949,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
4950,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
4951,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
4952,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
4953,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4954,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
4955,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
4956,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4957,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
4958,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
4959,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
4960,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
4961,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
4962,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
4963,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
4964,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
4965,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
4966,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4967,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
4968,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
4969,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
4970,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
4971,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4972,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
4973,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
4974,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
4975,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
4976,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
4977,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
4978,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
4979,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
4980,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
4981,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
4982,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
4983,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
4984,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
4985,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
4986,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
4987,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
4988,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
4989,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
4990,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
4991,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
4992,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
4993,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
4994,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
4995,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
4996,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
4997,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
4998,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
4999,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5000,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
5001,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5002,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
5003,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5004,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
5005,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
5006,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
5007,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
5008,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
5009,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
5010,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5011,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5012,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
5013,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
5014,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5015,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5016,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5017,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
5018,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5019,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5020,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
5021,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
5022,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5023,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5024,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5025,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
5026,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
5027,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
5028,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5029,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
5030,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5031,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
5032,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5033,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5034,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
5035,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
5036,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5037,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5038,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
5039,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5040,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
5041,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
5042,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
5043,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5044,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5045,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5046,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
5047,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5048,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
5049,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5050,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
5051,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
5052,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
5053,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
5054,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
5055,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5056,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
5057,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5058,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
5059,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5060,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5061,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5062,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
5063,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5064,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5065,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5066,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
5067,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
5068,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5069,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5070,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
5071,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5072,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5073,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
5074,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5075,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
5076,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5077,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5078,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
5079,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
5080,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
5081,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
5082,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
5083,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
5084,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
5085,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5086,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5087,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5088,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5089,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
5090,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5091,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
5092,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
5093,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
5094,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
5095,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5096,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5097,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
5098,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5099,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
5100,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5101,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5102,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
5103,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5104,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5105,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
5106,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
5107,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5108,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5109,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5110,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5111,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
5112,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5113,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
5114,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
5115,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5116,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
5117,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5118,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5119,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
5120,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5121,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
5122,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
5123,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5124,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
5125,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
5126,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
5127,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5128,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5129,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
5130,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5131,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
5132,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
5133,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
5134,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5135,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5136,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
5137,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5138,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5139,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5140,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5141,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
5142,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
5143,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
5144,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
5145,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
5146,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
5147,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
5148,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5149,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
5150,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5151,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
5152,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
5153,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5154,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
5155,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
5156,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
5157,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5158,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
5159,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5160,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5161,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
5162,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
5163,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5164,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
