id,domain,concept,definition_query,application_query,expected_answer,model_answer,normalized_answer,consistent
467,Procedural,Rule,Define what optimization is.,"According to this definition, does a rule guide behavior?",yes,yes,yes,True
468,Procedural,Rule,Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.,"According to this definition, does a rule prohibit all behavior?",no,no.,no,True
469,Abstract,Risk,Define distributive justice by stating a necessary condition that must be satisfied for resource allocation to be distributively just.,"According to this definition, does risk involve uncertainty?",yes,yes,yes,True
470,Abstract,Risk,Define what a factor is.,"According to this definition, does risk imply guaranteed outcomes?",no,no,no,True
471,Abstract,Efficiency,Define what an algorithm is.,"According to this definition, does efficiency involve minimizing waste?",yes,yes.,yes,True
472,Abstract,Efficiency,Define what an instruction is.,"According to this definition, does efficiency require maximum effort regardless of outcome?",no,no.,no,True
473,Everyday,Profession,Define what a building is.,"According to this definition, is medicine a profession?",yes,yes,yes,True
474,Everyday,Profession,Define what adaptability is.,"According to this definition, is a hobby a profession?",no,no,no,True
475,Everyday,Exercise,Define what bacteria are.,"According to this definition, does exercise involve physical activity?",yes,yes.,yes,True
476,Everyday,Exercise,Define altruism by stating a necessary condition that must be satisfied for an action to be altruistic.,"According to this definition, does exercise involve no bodily movement?",no,no,no,True
477,Abstract,Freedom,Define what an electronic device is.,"According to this definition, does freedom involve the absence of constraints?",yes,no,no,False
478,Abstract,Freedom,Define what a backup is.,"According to this definition, does freedom require complete control over others?",no,no,no,True
479,Procedural,Instruction,Define what an integral is.,"According to this definition, does an instruction provide guidance?",yes,yes,yes,True
480,Procedural,Instruction,Define compassion by stating a necessary condition that must be satisfied for an action to be compassionate.,"According to this definition, does an instruction prohibit understanding?",no,no,no,True
